market,clientname,brand,category
CENTRAL AFRICAN REPUBLIC,Qatar Airways,Qatar Airways,Travel
NIGER,Qatar Airways,Qatar Airways,Travel
CHAD,Qatar Airways,Qatar Airways,Travel
COMOROS,Qatar Airways,Qatar Airways,Travel
CANADA,Qatar Airways,Qatar Airways,Travel
BRAZIL,Qatar Airways,Qatar Airways,Travel
MEXICO,Qatar Airways,Qatar Airways,Travel
ARGENTINA,Qatar Airways,Qatar Airways,Travel
PERU,Qatar Airways,Qatar Airways,Travel
URUGUAY,Qatar Airways,Qatar Airways,Travel
SURINAME,Qatar Airways,Qatar Airways,Travel
COLOMBIA,Qatar Airways,Qatar Airways,Travel
COSTA RICA,Qatar Airways,Qatar Airways,Travel
PUERTO RICO,Qatar Airways,Qatar Airways,Travel
PANAMA,Qatar Airways,Qatar Airways,Travel
CAYMAN ISLANDS,Qatar Airways,Qatar Airways,Travel
JAMAICA,Qatar Airways,Qatar Airways,Travel
TURKS AND CAICOS ISLANDS,Qatar Airways,Qatar Airways,Travel
DOMINICAN REPUBLIC,Qatar Airways,Qatar Airways,Travel
BERMUDA,Qatar Airways,Qatar Airways,Travel
BRITISH VIRGIN ISLANDS,Qatar Airways,Qatar Airways,Travel
GUATEMALA,Qatar Airways,Qatar Airways,Travel
PARAGUAY,Qatar Airways,Qatar Airways,Travel
EL SALVADOR,Qatar Airways,Qatar Airways,Travel
BAHAMAS,Qatar Airways,Qatar Airways,Travel
TRINIDAD AND TOBAGO,Qatar Airways,Qatar Airways,Travel
HONDURAS,Qatar Airways,Qatar Airways,Travel
CUBA,Qatar Airways,Qatar Airways,Travel
ARUBA,Qatar Airways,Qatar Airways,Travel
HAITI,Qatar Airways,Qatar Airways,Travel
United Kingdom of Great Britain and Northern Ireland,Qatar Airways,Qatar Airways,Travel
GERMANY,Qatar Airways,Qatar Airways,Travel
FRANCE,Qatar Airways,Qatar Airways,Travel
SWITZERLAND,Qatar Airways,Qatar Airways,Travel
ITALY,Qatar Airways,Qatar Airways,Travel
SPAIN,Qatar Airways,Qatar Airways,Travel
GREECE,Qatar Airways,Qatar Airways,Travel
SWEDEN,Qatar Airways,Qatar Airways,Travel
NORWAY,Qatar Airways,Qatar Airways,Travel
RUSSIAN FEDERATION,Qatar Airways,Qatar Airways,Travel
DENMARK,Qatar Airways,Qatar Airways,Travel
TURKEY,Qatar Airways,Qatar Airways,Travel
IRELAND,Qatar Airways,Qatar Airways,Travel
NETHERLANDS,Qatar Airways,Qatar Airways,Travel
FINLAND,Qatar Airways,Qatar Airways,Travel
UKRAINE,Qatar Airways,Qatar Airways,Travel
CYPRUS,Qatar Airways,Qatar Airways,Travel
POLAND,Qatar Airways,Qatar Airways,Travel
BELGIUM,Qatar Airways,Qatar Airways,Travel
AUSTRIA,Qatar Airways,Qatar Airways,Travel
CZECH REPUBLIC,Qatar Airways,Qatar Airways,Travel
ROMANIA,Qatar Airways,Qatar Airways,Travel
BULGARIA,Qatar Airways,Qatar Airways,Travel
HUNGARY,Qatar Airways,Qatar Airways,Travel
SERBIA,Qatar Airways,Qatar Airways,Travel
CROATIA,Qatar Airways,Qatar Airways,Travel
PORTUGAL,Qatar Airways,Qatar Airways,Travel
LATVIA,Qatar Airways,Qatar Airways,Travel
ESTONIA,Qatar Airways,Qatar Airways,Travel
MALTA,Qatar Airways,Qatar Airways,Travel
ALBANIA,Qatar Airways,Qatar Airways,Travel
LITHUANIA,Qatar Airways,Qatar Airways,Travel
SLOVENIA,Qatar Airways,Qatar Airways,Travel
LUXEMBOURG,Qatar Airways,Qatar Airways,Travel
NORTH MACEDONIA,Qatar Airways,Qatar Airways,Travel
ICELAND,Qatar Airways,Qatar Airways,Travel
BELARUS,Qatar Airways,Qatar Airways,Travel
MOLDOVA,Qatar Airways,Qatar Airways,Travel
ANDORRA,Qatar Airways,Qatar Airways,Travel
MONTENEGRO,Qatar Airways,Qatar Airways,Travel
SAN MARINO,Qatar Airways,Qatar Airways,Travel
FAROE ISLANDS,Qatar Airways,Qatar Airways,Travel
GIBRALTAR,Qatar Airways,Qatar Airways,Travel
SAUDI ARABIA,Qatar Airways,Qatar Airways,Travel
PAKISTAN,Qatar Airways,Qatar Airways,Travel
KUWAIT,Qatar Airways,Qatar Airways,Travel
UNITED ARAB EMIRATES,Qatar Airways,Qatar Airways,Travel
IRAN,Qatar Airways,Qatar Airways,Travel
OMAN,Qatar Airways,Qatar Airways,Travel
IRAQ,Qatar Airways,Qatar Airways,Travel
